Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
737,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
738,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
739,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
740,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
741,Dermatitis,Itching, Redness, Swelling, Skin irritation
742,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
743,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
744,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
745,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
746,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
747,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
748,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
749,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
750,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
751,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
752,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
753,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
754,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
755,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
756,Gout,Joint pain, Redness, Swelling, Warmth
757,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
758,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
759,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
760,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
761,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
762,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
763,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
764,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
765,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
766,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
767,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
768,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
769,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
770,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
771,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
772,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
773,Impetigo,Red sores, Itching, Blisters, Skin crusting
774,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
775,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
776,Influenza,Fever, Chills, Body aches, Sore throat
777,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
778,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
779,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
780,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
781,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
782,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
783,Malaria,High fever, Chills, Sweating, Muscle pain
784,Measles,Fever, Rash, Cough, Runny nose
785,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
786,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
787,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
788,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
789,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
790,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
791,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
792,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
793,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
794,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
795,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
796,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
797,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
798,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
799,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
800,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
801,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
802,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
803,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
804,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
805,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
806,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
807,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
808,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
809,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
810,Typhoid,High fever, Weakness, Abdominal pain, Rash
811,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
812,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
813,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
814,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
815,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
816,AIDS,Fever, Fatigue, Weight loss, Frequent infections
817,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
818,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
819,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
820,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
821,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
822,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
823,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
824,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
825,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
826,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
827,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
828,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
829,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
830,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
831,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
832,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
833,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
834,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
835,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
836,Common Cold,Sneezing, Runny nose, Sore throat, Cough
837,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
838,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
839,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
840,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
841,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
842,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
843,Dermatitis,Itching, Redness, Swelling, Skin irritation
844,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
845,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
846,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
847,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
848,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
849,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
850,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
851,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
852,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
853,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
854,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
855,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
856,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
857,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
858,Gout,Joint pain, Redness, Swelling, Warmth
859,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
860,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
861,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
862,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
863,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
864,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
865,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
866,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
867,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
868,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
869,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
870,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
871,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
872,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
873,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
874,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
875,Impetigo,Red sores, Itching, Blisters, Skin crusting
876,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
877,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
878,Influenza,Fever, Chills, Body aches, Sore throat
879,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
880,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
881,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
882,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
883,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
884,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
885,Malaria,High fever, Chills, Sweating, Muscle pain
886,Measles,Fever, Rash, Cough, Runny nose
887,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
888,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
889,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
890,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
891,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
892,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
893,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
894,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
895,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
896,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
897,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
898,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
899,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
900,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
901,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
902,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
903,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
904,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
905,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
906,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
907,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
908,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
909,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
910,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
911,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
912,Typhoid,High fever, Weakness, Abdominal pain, Rash
913,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
914,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
915,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
916,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
917,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
918,AIDS,Fever, Fatigue, Weight loss, Frequent infections
919,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
920,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
921,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
922,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
923,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
924,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
925,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
926,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
927,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
928,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
929,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
930,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
931,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
932,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
933,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
934,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
935,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
936,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
937,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
938,Common Cold,Sneezing, Runny nose, Sore throat, Cough
939,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
940,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
941,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
942,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
943,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
944,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
945,Dermatitis,Itching, Redness, Swelling, Skin irritation
946,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
947,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
948,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
949,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
950,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
951,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
952,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
953,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
954,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
955,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
956,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
957,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
958,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
959,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
960,Gout,Joint pain, Redness, Swelling, Warmth
961,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
962,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
963,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
964,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
965,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
966,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
967,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
968,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
969,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
970,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
971,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
972,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
973,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
974,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
975,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
976,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
977,Impetigo,Red sores, Itching, Blisters, Skin crusting
978,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
979,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
980,Influenza,Fever, Chills, Body aches, Sore throat
981,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
982,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
983,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
984,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
985,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
986,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
987,Malaria,High fever, Chills, Sweating, Muscle pain
988,Measles,Fever, Rash, Cough, Runny nose
989,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
990,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
991,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
992,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
993,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
994,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
995,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
996,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
997,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
998,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
999,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
1000,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
1001,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
1002,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
1003,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
1004,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
1005,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
1006,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
1007,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
1008,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
1009,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
1010,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
1011,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
1012,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
1013,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
1014,Typhoid,High fever, Weakness, Abdominal pain, Rash
1015,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
1016,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
1017,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
1018,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
1019,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
1020,AIDS,Fever, Fatigue, Weight loss, Frequent infections
1021,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
1022,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
1023,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
1024,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
1025,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
1026,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
1027,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
1028,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
1029,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
1030,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
1031,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
1032,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
1033,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
1034,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
1035,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
1036,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
1037,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
1038,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
1039,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
1040,Common Cold,Sneezing, Runny nose, Sore throat, Cough
1041,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
1042,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
1043,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
1044,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
1045,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
1046,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
1047,Dermatitis,Itching, Redness, Swelling, Skin irritation
1048,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
1049,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
1050,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
1051,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
1052,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
1053,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
1054,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
1055,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
1056,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
1057,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
1058,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
1059,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
1060,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
1061,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
1062,Gout,Joint pain, Redness, Swelling, Warmth
1063,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
1064,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
1065,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
1066,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
1067,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
1068,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
1069,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
1070,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
1071,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
1072,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
1073,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
1074,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
1075,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
1076,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
1077,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
1078,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
1079,Impetigo,Red sores, Itching, Blisters, Skin crusting
1080,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
1081,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
1082,Influenza,Fever, Chills, Body aches, Sore throat
1083,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
1084,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
1085,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
1086,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
1087,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
1088,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
1089,Malaria,High fever, Chills, Sweating, Muscle pain
1090,Measles,Fever, Rash, Cough, Runny nose
1091,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
1092,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
1093,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
1094,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
1095,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
1096,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
1097,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
1098,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
1099,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
1100,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
1101,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
1102,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
1103,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
1104,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
1105,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
1106,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
1107,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
1108,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
1109,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
1110,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
1111,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
1112,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
1113,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
1114,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
1115,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
1116,Typhoid,High fever, Weakness, Abdominal pain, Rash
1117,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
1118,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
1119,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
1120,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
1121,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
1122,AIDS,Fever, Fatigue, Weight loss, Frequent infections
1123,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
1124,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
1125,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
1126,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
1127,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
